qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
-2,,,,1937-01-01,1158.918738124093,0.9902376891957346,1944-07-01,2351.627,0.9895611926963165,1948-04-01,2121.899,0.9931938177528973,1952-10-01,2650.431,0.9742204379529849,1957-01-01,2994.259,0.9924692879864262,1959-07-01,3196.683,0.9752386246215884,1969-01-01,4923.76,0.9904273467825333,1973-04-01,5707.755,0.9958341707911464,1979-07-01,6803.558,0.9943779793815397,1981-01-01,6951.495,0.9955440724233592,1991-04-01,9347.597,0.991515957274724,2000-10-01,13262.25,0.9970571505512881,2007-04-01,15577.779,0.9879897731650357,2019-04-01,18962.175,0.9868068236526076
-1,,,,1937-04-01,1169.718601680296,0.999465628635936,1944-10-01,2370.623503642688,0.9975548935688265,1948-07-01,2134.056,0.998884124992979,1953-01-01,2699.699,0.9923299048800875,1957-04-01,2987.699,0.9902949274754648,1959-10-01,3205.79,0.9780169727263047,1969-04-01,4938.728,0.9934381995711827,1973-07-01,5677.738,0.9905970934630836,1979-10-01,6820.572,0.9968646704542399,1981-04-01,6899.98,0.9881664575518978,1991-07-01,9394.834,0.9965264684546333,2001-01-01,13219.251,0.9938244818550597,2007-07-01,15671.605,0.9939405013437435,2019-07-01,19130.932,0.9955890735337075
0,1929-07-01,1109.448,1.0,1937-07-01,1170.344,1.0,1945-01-01,2376.434138036862,1.0,1948-10-01,2136.44,1.0,1953-04-01,2720.566,1.0,1957-07-01,3016.979,1.0,1960-01-01,3277.847,1.0,1969-07-01,4971.349,1.0,1973-10-01,5731.632,1.0,1980-01-01,6842.024,1.0,1981-07-01,6982.609,1.0,1991-10-01,9427.581,1.0,2001-04-01,13301.394,1.0,2007-10-01,15767.146,1.0,2019-10-01,19215.691,1.0
1,1929-10-01,1074.0179231850148,0.9680651307542261,1937-10-01,1160.6232741364918,0.9916941293640944,1945-04-01,2364.0909534126044,0.9948060060126666,1949-01-01,2107.001,0.9862205350957669,1953-07-01,2705.258,0.9943732296882339,1957-10-01,2985.775,0.9896572034475547,1960-04-01,3260.177,0.9946092663873572,1969-10-01,4947.104,0.9951230541247457,1974-01-01,5682.353,0.9914022742562677,1980-04-01,6701.046,0.9793952783562291,1981-10-01,6906.529,0.989104359129947,1992-01-01,9540.444,1.0119715757414336,2001-07-01,13248.142,0.995996509839495,2008-01-01,15702.906,0.9959257052607999,2020-01-01,18989.877,0.9882484579919609
2,1930-01-01,1048.2056086400169,0.9447992232533807,1938-01-01,1146.1935140540065,0.9793646261731649,1945-07-01,2328.626,0.9798824056296568,1949-04-01,2099.814,0.9828565276815636,1953-10-01,2664.302,0.9793190093532009,1958-01-01,2908.281,0.9639712440822426,1960-07-01,3276.133,0.9994770957887905,1970-01-01,4939.759,0.9936455879480599,1974-04-01,5695.859,0.9937586711777728,1980-07-01,6693.082,0.9782312953009227,1982-01-01,6799.233,0.9737381829628438,1992-04-01,9643.893,1.0229445920432823,2001-10-01,13284.881,0.9987585511714034,2008-04-01,15792.773,1.0016253417073704,2020-04-01,17378.712,0.9044021367745766
3,1930-04-01,1029.4169897750107,0.9278641178090462,1938-04-01,1134.1439969445182,0.9690689207143525,1945-10-01,2268.2304764186974,0.9544680578829128,1949-07-01,2121.493,0.9930037819924734,1954-01-01,2651.566,0.9746376305518778,1958-04-01,2927.395,0.9703067207295776,1960-10-01,3234.087,0.9866497734641061,1970-04-01,4946.77,0.9950558691413538,1974-07-01,5642.025,0.9843662328635195,1980-10-01,6817.903,0.9964745812057952,1982-04-01,6830.251,0.9781803620967463,1992-07-01,9739.185,1.0330523810933048,2002-01-01,13394.91,1.0070305413101814,2008-07-01,15709.562,0.996347848875123,2020-07-01,18743.72,0.9754382499177366
4,1930-07-01,1015.058,0.914921654732804,1938-07-01,1131.564,0.9668644432747978,1946-01-01,2193.7321748466106,0.9231192818408261,1949-10-01,2103.688,0.9846698245679729,1954-04-01,2654.456,0.9756999095041253,1958-07-01,2995.112,0.9927520211443303,1961-01-01,3255.914,0.9933087175819982,1970-07-01,4992.357,1.0042258147637593,1974-10-01,5620.126,0.9805455060617989,1981-01-01,6951.495,1.0159997977206745,1982-07-01,6804.139,0.9744407856719458,1992-10-01,9840.753,1.043825876436384,2002-04-01,13477.356,1.0132288390224362,2008-10-01,15366.607,0.974596607401238,2020-10-01,18924.262,0.9848338006684225
5,1930-10-01,1002.5345727249896,0.9036336743362371,1938-10-01,1143.4279604481892,0.977001599912666,1946-04-01,2119.1180358512192,0.8917217615809004,1950-01-01,2186.365,1.023368313643257,1954-07-01,2684.434,0.9867189401029052,1958-10-01,3065.141,1.0159636510562389,1961-04-01,3311.181,1.0101694801496226,1970-10-01,4938.857,0.9934641482623731,1975-01-01,5551.713,0.9686094641107454,1981-04-01,6899.98,1.0084705929122726,1982-10-01,6806.857,0.9748300384569721,1993-01-01,9857.185,1.0455688474063494,2002-07-01,13531.741,1.0173175082250778,2009-01-01,15187.475,0.963235515165522,2021-01-01,19216.224,1.0000277377482807
6,1931-01-01,989.2526413599832,0.891662016930927,1939-01-01,1166.2509556598802,0.9965026997702215,1946-07-01,2058.375,0.8661611811806381,1950-04-01,2253.045,1.054579112916815,1954-10-01,2736.96,1.0060259519526453,1959-01-01,3123.978,1.0354656098037143,1961-07-01,3374.742,1.0295605621616872,1971-01-01,5072.996,1.0204465628946993,1975-04-01,5591.382,0.9755305295245752,1981-07-01,6982.609,1.0205472825000321,1983-01-01,6896.561,0.9876768124922932,1993-04-01,9914.565,1.0516552443304386,2002-10-01,13549.421,1.0186466922188757,2009-04-01,15161.772,0.9616053533087091,2021-04-01,19544.248,1.0170983702849927
7,1931-04-01,972.6181393149855,0.8766685228284564,1939-04-01,1194.4332230416312,1.0205830277607535,1946-10-01,2025.4900078604337,0.8523232247175434,1950-07-01,2340.112,1.0953324221602292,1955-01-01,2815.134,1.0347604138256525,1959-04-01,3194.429,1.0588171147362975,1961-10-01,3440.924,1.049751254405712,1971-04-01,5100.447,1.0259684041494572,1975-07-01,5687.087,0.9922282170244009,1981-10-01,6906.529,1.0094277658190032,1983-04-01,7053.5,1.010152508897462,1993-07-01,9961.873,1.0566732866044852,2003-01-01,13619.434,1.0239102758703336,2009-07-01,15216.647,0.9650856914751725,2021-07-01,19672.594,1.0237775992546925
