DATE,VALUE
1947-01-01,1770.691
1947-04-01,1767.976
1947-07-01,1766.523
1947-10-01,1793.310
1948-01-01,1821.809
1948-04-01,1855.345
1948-07-01,1865.320
1948-10-01,1868.184
1949-01-01,1842.240
1949-04-01,1835.512
1949-07-01,1856.103
1949-10-01,1838.679
1950-01-01,1912.998
1950-04-01,1971.217
1950-07-01,2048.351
1950-10-01,2084.390
1951-01-01,2110.731
1951-04-01,2145.746
1951-07-01,2188.503
1951-10-01,2192.210
1952-01-01,2214.268
1952-04-01,2216.709
1952-07-01,2231.561
1952-10-01,2305.276
1953-01-01,2348.408
1953-04-01,2366.180
1953-07-01,2351.793
1953-10-01,2314.567
1954-01-01,2303.523
1954-04-01,2306.413
1954-07-01,2332.418
1954-10-01,2379.125
1955-01-01,2447.657
1955-04-01,2488.149
1955-07-01,2521.394
1955-10-01,2535.472
1956-01-01,2523.902
1956-04-01,2543.752
1956-07-01,2540.555
1956-10-01,2582.070
1957-01-01,2597.939
1957-04-01,2591.671
1957-07-01,2616.638
1957-10-01,2589.110
1958-01-01,2519.019
1958-04-01,2534.480
1958-07-01,2593.867
1958-10-01,2654.348
1959-01-01,2708.036
1959-04-01,2776.430
1959-07-01,2773.119
1959-10-01,2782.827
1960-01-01,2845.268
1960-04-01,2831.971
1960-07-01,2836.599
1960-10-01,2800.224
1961-01-01,2816.858
1961-04-01,2869.554
1961-07-01,2915.929
1961-10-01,2975.288
1962-01-01,3028.654
1962-04-01,3062.094
1962-07-01,3090.408
1962-10-01,3097.917
1963-01-01,3138.407
1963-04-01,3177.733
1963-07-01,3237.567
1963-10-01,3262.180
1964-01-01,3335.397
1964-04-01,3373.705
1964-07-01,3419.548
1964-10-01,3429.028
1965-01-01,3513.250
1965-04-01,3560.919
1965-07-01,3633.182
1965-10-01,3720.836
1966-01-01,3812.167
1966-04-01,3824.857
1966-07-01,3850.012
1966-10-01,3881.205
1967-01-01,3915.396
1967-04-01,3916.211
1967-07-01,3947.455
1967-10-01,3977.573
1968-01-01,4059.545
1968-04-01,4128.472
1968-07-01,4156.717
1968-10-01,4174.727
1969-01-01,4240.478
1969-04-01,4252.828
1969-07-01,4279.723
1969-10-01,4259.622
1970-01-01,4252.940
1970-04-01,4260.650
1970-07-01,4298.588
1970-10-01,4253.004
1971-01-01,4370.283
1971-04-01,4395.075
1971-07-01,4430.159
1971-10-01,4442.470
1972-01-01,4521.907
1972-04-01,4629.147
1972-07-01,4673.511
1972-10-01,4750.488
