qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
-12,,,,1934-07-01,905.5939999999999,0.7737844599536545,1942-01-01,1707.65262988999,0.7185951324590796,1945-10-01,2268.345113026019,1.062466182615217,1950-04-01,2251.507,0.8281529946750461,1954-07-01,2682.6009999999997,0.8897754798719301,1957-01-01,2992.219,0.9134435185515898,1966-07-01,4459.195,0.8975539052253507,1970-10-01,4935.693,0.8616842645549201,1977-01-01,6079.494000000001,0.8891215552264299,1978-07-01,6640.496999999999,0.9516148655765472,1988-10-01,9009.913,0.956307471210993,1998-04-01,11942.032,0.8978982230354563,2004-10-01,14609.876,0.9269069019114177,2016-10-01,17876.179,0.9284417298281357
-11,,,,1934-10-01,925.3081478250235,0.7906292063060293,1942-04-01,1782.6135323049155,0.750139334515897,1946-01-01,2193.94705389442,1.0276190063960382,1950-07-01,2338.514,0.8601560520085084,1954-10-01,2735.091,0.9071855661793897,1957-04-01,2985.663,0.9114421490971399,1966-10-01,4495.777,0.9049171887240436,1971-01-01,5069.746,0.8850875355274828,1977-04-01,6197.686,0.9064070488637821,1978-10-01,6729.755,0.9644059623380745,1989-01-01,9101.508,0.9660293167854809,1998-07-01,12091.614,0.909145003482711,2005-01-01,14771.601999999999,0.937167423329842,2017-01-01,17977.299,0.9336936367216737
-10,,,,1935-01-01,943.4731279675785,0.8061502669023625,1942-07-01,1861.5,0.7833354487081786,1946-04-01,2119.325717815612,0.9926672498797936,1950-10-01,2383.291,0.8766260015323449,1955-01-01,2813.212,0.9330970417447366,1957-07-01,3014.9190000000003,0.9203732144966797,1967-01-01,4535.590999999999,0.9129310143545983,1971-04-01,5097.179,0.8898768496986711,1977-07-01,6309.514,0.9227618121512962,1979-01-01,6741.854,0.9661398066962018,1989-04-01,9170.976999999999,0.9734027202487059,1998-10-01,12287.0,0.9238356978474561,2005-04-01,14839.782,0.9414930255849413,2017-04-01,18054.052,0.9376799857109906
-9,,,,1935-04-01,962.8577941263443,0.8227134877662843,1942-10-01,1944.36067682407,0.8182039447921142,1946-07-01,2058.375,0.9641186502362316,1951-01-01,2415.66,0.8885320201610395,1955-04-01,2858.988,0.9482802025527053,1957-10-01,2983.7270000000003,0.9108511406676382,1967-04-01,4538.37,0.9134903759215677,1971-07-01,5139.128,0.8972003994441301,1977-10-01,6309.651999999999,0.9227819945504596,1979-04-01,6749.063,0.9671728907508954,1989-07-01,9238.923,0.9806144732854892,1999-01-01,12403.293,0.9325795429528337,2005-07-01,14972.053999999998,0.9498848716026369,2017-07-01,18185.636000000002,0.9445141126559999
-8,,,,1935-07-01,986.2310000000001,0.8426847149214248,1943-01-01,2027.7092611206376,0.853277756599336,1946-10-01,2024.9887956579935,0.9484809446351014,1951-04-01,2457.5170000000003,0.9039279304993657,1955-07-01,2897.598,0.9610865167521913,1958-01-01,2906.2740000000003,0.8872068349392218,1967-07-01,4581.309,0.9221332065527627,1971-10-01,5151.245,0.8993158122612588,1978-01-01,6329.791,0.9257273085849346,1979-07-01,6799.2,0.9743577617801891,1989-10-01,9257.128,0.9825467424997864,1999-04-01,12498.694,0.939752559100823,2005-10-01,15066.597,0.9558830442926318,2017-10-01,18359.432,0.9535406198797869
-7,,,,1935-10-01,1015.3976103088328,0.8676061143636681,1943-04-01,2107.1757148568863,0.8867179339803363,1947-01-01,2033.0610000000001,0.952261870246152,1951-07-01,2508.166,0.9225577286866671,1955-10-01,2914.993,0.9668561576612836,1958-04-01,2925.3790000000004,0.8930390746322149,1967-10-01,4615.853,0.929086278150238,1972-01-01,5245.974,0.915853811828295,1978-04-01,6574.39,0.9614997336069561,1979-10-01,6816.203,0.9767943727084673,1990-01-01,9358.289,0.9932839183299166,1999-07-01,12662.385,0.9520601678919314,2006-01-01,15267.026000000002,0.9685990333566872,2018-01-01,18530.483,0.9624245590218615
-6,,,,1936-01-01,1048.30653385956,0.8957251319779141,1943-07-01,2178.39,0.9166855267856079,1947-04-01,2027.639,0.9497222691911542,1951-10-01,2513.69,0.9245895754198039,1956-01-01,2903.671,0.9631008328913644,1958-07-01,2993.0679999999998,0.913702695285395,1968-01-01,4709.9929999999995,0.9480349279935201,1972-04-01,5365.045,0.9366414919098597,1978-07-01,6640.496999999999,0.9711678340527091,1980-01-01,6837.641,0.9798665402718634,1990-04-01,9392.251,0.9968886273140396,1999-10-01,12877.593,0.9682412399894618,2006-04-01,15302.705,0.970862646774987,2018-04-01,18654.383,0.9688595992128166
-5,,,,1936-04-01,1081.9426904805073,0.9244655336213176,1943-10-01,2237.893052048649,0.941724930479422,1947-07-01,2023.4520000000002,0.9477611276165924,1952-01-01,2540.55,0.9344692646399448,1956-04-01,2927.665,0.9710592556549611,1958-10-01,3063.085,0.9350769913641336,1968-04-01,4788.688,0.9638747835216389,1972-07-01,5415.7119999999995,0.9454870494905689,1978-10-01,6729.755,0.984221751332075,1980-04-01,6696.753000000001,0.9596766184661089,1990-07-01,9398.499,0.9975517867785234,2000-01-01,12924.178999999998,0.9717439509701665,2006-07-01,15326.368,0.9723639187926228,2018-07-01,18752.355,0.9739480072643761
-4,,,,1936-07-01,1113.2910000000002,0.9512510851510326,1944-01-01,2285.869700627458,0.9619139229811655,1947-10-01,2055.103,0.9625860839042595,1952-04-01,2546.022,0.9364819846478604,1956-07-01,2925.035,0.9701869270783061,1959-01-01,3121.9359999999997,0.9530426096929655,1968-07-01,4825.799,0.9713445449868401,1972-10-01,5506.396,0.9613188639585472,1979-01-01,6741.854,0.985991221241361,1980-07-01,6688.794,0.9585360558372688,1990-10-01,9312.937,0.9884702806805451,2000-04-01,13160.841999999999,0.9895381829030772,2006-10-01,15456.928,0.9806471489250042,2018-10-01,18813.923,0.9771456872843658
-3,,,,1936-10-01,1139.5682546896462,0.9737036757480246,1944-04-01,2323.415748892537,0.9777136278240045,1948-01-01,2086.0170000000003,0.9770658380566385,1952-07-01,2564.401,0.9432421785487154,1956-10-01,2973.179,0.9861555152891337,1959-04-01,3192.38,0.9745472573209796,1968-10-01,4844.779,0.9751648697587277,1973-01-01,5642.669,0.9851097074700242,1979-04-01,6749.063,0.9870455322237597,1980-10-01,6813.535,0.9764120355940377,1991-01-01,9269.367,0.9838457835826638,2000-07-01,13178.419,0.990859763440317,2007-01-01,15493.328000000001,0.9829565053650983,2019-01-01,18950.346999999998,0.9842311911020482
